x y z
-0.663 -1.531 0.222
-0.663 -1.327 0.156
-0.663 -1.122 0.091
-0.663 -0.918 0.027
-0.663 -0.714 0.000
-0.663 -0.510 0.000
-0.663 -0.306 0.000
-0.663 -0.102 0.000
-0.663 0.102 0.000
-0.663 0.306 0.000
-0.663 0.510 0.000
-0.663 0.714 0.000
-0.663 0.918 0.534
-0.663 1.122 1.470
-0.663 1.327 2.012
-0.663 1.531 2.430
-0.663 1.735 2.783
-0.663 1.939 3.093
-0.663 2.143 3.373
-0.663 2.347 3.630
-0.663 2.551 3.869
-0.663 2.755 4.094
-0.663 2.959 4.307
-0.663 3.163 4.510
-0.663 3.367 4.704
-0.663 3.571 4.890
-0.663 3.776 5.070
-0.663 3.980 5.244
-0.663 4.184 5.413
-0.663 4.388 5.577
-0.663 4.592 5.737
-0.663 4.796 5.893
-0.663 5.000 6.045
-0.561 -5.000 1.377
-0.561 -4.796 1.310
-0.561 -4.592 1.242
-0.561 -4.388 1.175
-0.561 -4.184 1.107
-0.561 -3.980 1.039
-0.561 -3.776 0.971
-0.561 -3.571 0.903
-0.561 -3.367 0.834
-0.561 -3.163 0.766
-0.561 -2.959 0.697
-0.561 -2.755 0.629
-0.561 -2.551 0.560
-0.561 -2.347 0.491
-0.561 -2.143 0.423
-0.561 -1.939 0.354
-0.561 -1.735 0.286
-0.561 -1.531 0.218
-0.561 -1.327 0.151
-0.561 -1.122 0.084
-0.561 -0.918 0.018
-0.561 -0.714 0.000
-0.561 -0.510 0.000
-0.561 -0.306 0.000
-0.561 -0.102 0.000
-0.561 0.102 0.000
-0.561 0.306 0.000
-0.561 0.510 0.000
-0.561 0.714 0.000
-0.561 0.918 0.213
-0.561 1.122 1.313
-0.561 1.327 1.900
-0.561 1.531 2.337
-0.561 1.735 2.700
-0.561 1.939 3.017
-0.561 2.143 3.302
-0.561 2.347 3.563
-0.561 2.551 3.806
-0.561 2.755 4.033
-0.561 2.959 4.248
-0.561 3.163 4.453
-0.561 3.367 4.648
-0.561 3.571 4.837
-0.561 3.776 5.018
-0.561 3.980 5.193
-0.561 4.184 5.363
-0.561 4.388 5.528
-0.561 4.592 5.689
-0.561 4.796 5.846
-0.561 5.000 5.999
-0.459 -5.000 1.379
-0.459 -4.796 1.312
-0.459 -4.592 1.244
-0.459 -4.388 1.177
-0.459 -4.184 1.109
-0.459 -3.980 1.041
